"fips","month","mask_grocery_very_prop","mask_grocery_some_prop","mask_grocery_very_suc","mask_grocery_some_suc","total_obs","mask_grocery_some_only_prop","mask_grocery_notso_only_prop","mask_grocery_notatall_only_prop"
1001,2020-06-01,0.645846044952434,0.742514572166859,44,51,60,0.0966685272144248,0.0176428352708881,0.125109785061221
1001,2020-07-01,0.755394884573824,0.794689982437059,26,27,31,0.0392950978632343,0.0284476068294846,0.0955801401515549
1001,2020-08-01,0.7494383458062,0.843344592940714,28,32,34,0.0939062471345139,0.0826587647836339,0
1001,2020-09-01,0.809438584265153,0.885298869143778,10,11,12,0.0758602848786255,0,0.0542304159143463
1001,2020-10-01,0.764142038075325,0.855174379929676,9,10,10,0.0910323418543506,0,0
1001,2020-11-01,0.767553260758619,0.818126784011036,10,11,12,0.050573523252417,0,0.050573523252417
1001,2020-12-01,0.759124910060953,0.837059864333454,23,25,27,0.0779349542725004,0.0216487241099994,0.0216487241099994
1001,2021-01-01,0.795368874528808,0.833064081852448,11,11,12,0.0376952073236402,0,0.0389305964712217
1001,2021-02-01,0.860812822705817,0.86622952896829,13,13,13,0.00541670626247267,0.00164718553010865,0
1001,2021-03-01,0.811086825683422,0.856602996610597,17,18,19,0.0455161709271753,0,0.0455161709271753
1001,2021-04-01,0.737487725300135,0.737487725300135,11,11,12,0,0,0.113790427317938
1001,2021-05-01,0.622635074492908,0.688668208263379,11,13,17,0.0660331337704709,0.00107700592353257,0.155324316048444
1001,2021-06-01,0.551748022849419,0.551748022849419,6,6,9,0,0.0606164275079982,0.28772741191253
1003,2020-06-01,0.481289420740864,0.640513761961723,85,117,193,0.159224341220859,0.0986032223781933,0.237760468520892
1003,2020-07-01,0.63394961486525,0.784827945619056,73,86,97,0.150878330753806,0.0274465430504263,0.0543784075505282
1003,2020-08-01,0.75658152784827,0.802651554988595,72,77,86,0.0460700271403242,0.0309615630516217,0.058257400417098
1003,2020-09-01,0.819815134646615,0.886783241019265,69,77,79,0.0669681063726501,0,0.0158872420283289
1003,2020-10-01,0.738013317989119,0.765780440064129,30,31,32,0.0277671220750095,0.0176419093707889,0
1003,2020-11-01,0.699349882906492,0.723304021954025,42,44,46,0.0239541390475322,0,0.0648691315766174
1003,2020-12-01,0.779855441749367,0.864771401906684,106,115,120,0.0849159601573172,0.00562896515093392,0.0316504458905341
1003,2021-01-01,0.633730143507724,0.777353516873713,54,63,66,0.143623373365989,0.026389585607916,0.016092242320517
1003,2021-02-01,0.717534040871995,0.741309208822264,49,51,57,0.0237751679502689,0.0237751679502689,0.0558958823085824
1003,2021-03-01,0.749319744619102,0.840148065088309,55,62,65,0.0908283204692068,0.0137297910498653,0.0147933941200192
1003,2021-04-01,0.576855321785829,0.659906688830527,37,43,49,0.0830513670446981,0.0225507457352598,0.0797072796482634
1003,2021-05-01,0.395879225773881,0.528339234314623,20,28,44,0.132460008540742,0.179636843430404,0.118480884691159
1003,2021-06-01,0.231103012777007,0.36838797249845,8,12,32,0.137284959721443,0.169618165186343,0.28368821741568
1005,2020-06-01,0.577339946725452,0.577339946725452,6,6,7,0,0,0.101634977496096
1005,2020-07-01,0.597676127491503,0.597676127491503,7,7,8,0,0,0.100312299072288
1005,2020-08-01,0.12730779829154,0.12730779829154,1,1,1,0,0,0
1005,2020-09-01,0.669220170845963,0.669220170845963,5,5,5,0,0,0
1005,2020-10-01,0.601873794433728,0.601873794433728,1,1,1,0,0,0
1005,2020-11-01,0.630642050151557,0.630642050151557,1,1,1,0,0,0
1005,2020-12-01,0.622209975199779,0.622209975199779,3,3,3,0,0,0
1005,2021-01-01,0.601873794433728,0.601873794433728,5,5,5,0,0,0
1005,2021-02-01,0.833011848994212,0.833011848994212,6,6,6,0,0,0
1005,2021-03-01,0.421585377055203,0.421585377055203,2,2,3,0,0,0.200624598144576
1005,2021-04-01,0.630642050151557,0.71413612565445,3,4,4,0.0834940755028933,0,0
1005,2021-05-01,0.601873794433728,0.601873794433728,2,2,2,0,0,0
1005,2021-06-01,0.749517773491319,0.749517773491319,3,3,3,0,0,0
1007,2020-06-01,0.452710002700999,0.582790132348968,3,4,5,0.130080129647969,0.133798505447015,0.00178716124966237
1007,2020-07-01,0.395017727987926,0.543993277512677,4,6,8,0.148975549524752,0.000441163230395246,0.122442303652351
1007,2020-08-01,0.555451517061312,0.555451517061312,5,5,5,0,0,0.00329521923111551
