fips,month,successes,trials,comm_mask_prop_most
1001,2020-11-01,32,50,0.64
1001,2020-12-01,179,267,0.6704119850187266
1001,2021-01-01,193,282,0.6843971631205674
1001,2021-02-01,152,216,0.7037037037037037
1001,2021-03-01,112,183,0.6120218579234973
1001,2021-04-01,66,161,0.40993788819875776
1001,2021-05-01,44,104,0.4230769230769231
1003,2020-11-01,96,214,0.4485981308411215
1003,2020-12-01,636,1161,0.5478036175710594
1003,2021-01-01,637,1193,0.5339480301760269
1003,2021-02-01,505,972,0.5195473251028807
1003,2021-03-01,433,975,0.4441025641025641
1003,2021-04-01,255,793,0.32156368221941994
1003,2021-05-01,66,476,0.13865546218487396
1005,2020-11-01,17,20,0.85
1005,2020-12-01,37,76,0.4868421052631579
1005,2021-01-01,43,85,0.5058823529411764
1005,2021-02-01,42,51,0.8235294117647058
1005,2021-03-01,38,50,0.76
1005,2021-04-01,25,35,0.7142857142857143
1005,2021-05-01,22,32,0.6875
1007,2020-11-01,5,5,1
1007,2020-12-01,27,57,0.47368421052631576
1007,2021-01-01,53,79,0.6708860759493671
1007,2021-02-01,30,36,0.8333333333333334
1007,2021-03-01,19,35,0.5428571428571428
1007,2021-04-01,7,24,0.2916666666666667
1007,2021-05-01,10,24,0.4166666666666667
1009,2020-11-01,4,14,0.2857142857142857
1009,2020-12-01,38,89,0.42696629213483145
1009,2021-01-01,36,85,0.4235294117647059
1009,2021-02-01,48,75,0.64
1009,2021-03-01,30,75,0.4
1009,2021-04-01,14,54,0.25925925925925924
1009,2021-05-01,8,47,0.1702127659574468
1011,2020-11-01,7,7,1
1011,2020-12-01,14,15,0.9333333333333333
1011,2021-01-01,22,27,0.8148148148148148
1011,2021-02-01,14,22,0.6363636363636364
1011,2021-03-01,15,26,0.5769230769230769
1011,2021-04-01,11,11,1
1011,2021-05-01,6,16,0.375
1013,2020-11-01,0,9,0
1013,2020-12-01,45,62,0.7258064516129032
1013,2021-01-01,34,65,0.5230769230769231
1013,2021-02-01,39,48,0.8125
1013,2021-03-01,21,34,0.6176470588235294
1013,2021-04-01,26,33,0.7878787878787878
1013,2021-05-01,7,15,0.4666666666666667
1015,2020-11-01,29,55,0.5272727272727272
1015,2020-12-01,190,329,0.5775075987841946
1015,2021-01-01,214,339,0.6312684365781711
1015,2021-02-01,151,260,0.5807692307692308
1015,2021-03-01,146,274,0.5328467153284672
1015,2021-04-01,64,205,0.3121951219512195
1015,2021-05-01,26,116,0.22413793103448276
1017,2020-11-01,12,16,0.75
1017,2020-12-01,53,71,0.7464788732394366
1017,2021-01-01,46,93,0.4946236559139785
1017,2021-02-01,46,71,0.647887323943662
1017,2021-03-01,31,63,0.49206349206349204
1017,2021-04-01,27,53,0.5094339622641509
1017,2021-05-01,12,39,0.3076923076923077
1019,2020-11-01,2,19,0.10526315789473684
