fips,week,n_vax,n_response,p_fb,week_rank
1001,2021-03-28,10,18,0.5555555555555556,1
1001,2021-04-04,22,43,0.5116279069767442,2
1001,2021-04-11,31,41,0.7560975609756098,3
1001,2021-04-18,18,35,0.5142857142857142,4
1001,2021-04-25,26,38,0.6842105263157895,5
1001,2021-05-02,15,23,0.6521739130434783,6
1001,2021-05-09,22,29,0.7586206896551724,7
1001,2021-05-16,25,31,0.8064516129032258,8
1001,2021-05-23,23,30,0.7666666666666667,9
1001,2021-05-30,7,7,1,10
1003,2021-03-28,58,94,0.6170212765957447,1
1003,2021-04-04,129,190,0.6789473684210526,2
1003,2021-04-11,140,222,0.6306306306306306,3
1003,2021-04-18,129,180,0.7166666666666667,4
1003,2021-04-25,112,150,0.7466666666666667,5
1003,2021-05-02,100,144,0.6944444444444444,6
1003,2021-05-09,91,120,0.7583333333333333,7
1003,2021-05-16,95,139,0.6834532374100719,8
1003,2021-05-23,117,136,0.8602941176470589,9
1003,2021-05-30,34,48,0.7083333333333334,10
1005,2021-03-28,2,5,0.4,1
1005,2021-04-04,1,7,0.14285714285714285,2
1005,2021-04-11,7,11,0.6363636363636364,3
1005,2021-04-18,8,8,1,4
1005,2021-04-25,5,10,0.5,5
1005,2021-05-02,9,11,0.8181818181818182,6
1005,2021-05-09,6,6,1,7
1005,2021-05-16,10,11,0.9090909090909091,8
1005,2021-05-23,0,3,0,9
1005,2021-05-30,3,3,1,10
1007,2021-03-28,1,2,0.5,1
1007,2021-04-04,5,7,0.7142857142857143,2
1007,2021-04-11,1,8,0.125,3
1007,2021-04-18,3,5,0.6,4
1007,2021-04-25,0,2,0,5
1007,2021-05-02,6,9,0.6666666666666666,6
1007,2021-05-09,6,6,1,7
1007,2021-05-16,9,9,1,8
1007,2021-05-23,3,5,0.6,9
1009,2021-03-28,0,1,0,1
1009,2021-04-04,5,21,0.23809523809523808,2
1009,2021-04-11,7,14,0.5,3
1009,2021-04-18,5,7,0.7142857142857143,4
1009,2021-04-25,5,14,0.35714285714285715,5
1009,2021-05-02,7,10,0.7,6
1009,2021-05-09,12,17,0.7058823529411765,7
1009,2021-05-16,5,13,0.38461538461538464,8
1009,2021-05-23,4,12,0.3333333333333333,9
1009,2021-05-30,0,1,0,10
1011,2021-03-28,1,1,1,1
1011,2021-04-04,3,3,1,2
1011,2021-04-11,4,4,1,3
1011,2021-04-18,2,2,1,4
1011,2021-04-25,3,3,1,5
1011,2021-05-02,6,6,1,6
